Dataset,Variables,Samples,Ground Truth,Expert Knowledge,Missing Data,Simulated,Interventional,Discrete,Continuous,Mixed,Ordinal
abalone_continuous,8,4177,No,Yes,No,No,No,No,Yes,No,No
abalone_mixed,9,4177,No,Yes,No,No,No,No,No,Yes,No
adult,15,32561,No,Yes,No,No,No,No,No,Yes,No
airfoil,6,1503,No,Yes,No,No,No,No,Yes,No,No
algerian_forest,15,244,No,Yes,No,No,No,No,No,Yes,No
apple_watch_fitbit,18,6264,No,Yes,No,No,No,No,No,Yes,No
auto_mpg,8,392,No,Yes,No,No,No,No,No,Yes,No
blue_driver,10,1381,No,No,No,No,No,No,Yes,No,No
boston_housing,14,506,No,No,No,No,No,No,Yes,No,No
cities,7,164,No,Yes,No,No,No,No,Yes,No,No
college_plans,5,10318,No,No,No,No,No,Yes,No,No,Yes
contraceptive_method,9,1473,No,No,No,No,No,No,No,Yes,No
cover_type,11,581012,No,Yes,No,No,No,No,No,Yes,No
credit_approval,16,690,No,No,No,No,No,No,No,Yes,No
cystic_fibrosis,44,41,No,No,Yes,No,No,No,No,Yes,No
depression_coping,78,127,No,No,Yes,No,No,No,Yes,No,No
dropouts,8,159,No,No,No,Yes,No,No,Yes,No,No
dry_bean,17,13611,No,Yes,No,No,No,No,No,Yes,No
galton_stature,5,898,No,No,No,No,No,No,No,Yes,No
goldberg,6,645,No,No,No,Yes,No,No,Yes,No,No
hitters,20,322,No,No,Yes,No,No,No,No,Yes,No
htru2,9,17898,No,Yes,No,No,No,No,No,Yes,No
hungary_chickenpox,20,522,Yes,No,No,No,No,No,Yes,No,No
iq_brain_size,9,20,No,No,No,No,No,No,Yes,No,No
lead,7,221,No,No,No,Yes,No,No,Yes,No,No
myocardial_infarction,123,1700,No,Yes,Yes,No,No,No,Yes,No,No
pima_diabetes,9,768,No,Yes,No,No,No,No,No,Yes,No
pittsburgh_bridges,12,108,No,No,Yes,No,No,Yes,No,No,No
residential_building,109,372,No,No,No,No,No,No,No,Yes,No
sachs_continuous,11,7466,Yes,Yes,No,No,No,No,Yes,No,No
sachs_continuous_jittered,20,7466,Yes,Yes,No,No,Yes,No,Yes,No,No
sachs_continuous_jittered_logscale,20,7466,Yes,Yes,No,No,Yes,No,Yes,No,No
sachs_continuous_logscale,11,7466,Yes,Yes,No,No,No,No,Yes,No,No
sachs_discrete,11,5400,Yes,Yes,No,No,No,Yes,No,No,No
sachs_mixed,20,7466,Yes,Yes,No,No,Yes,No,No,Yes,No
seoul_bike,13,8760,No,No,No,No,No,No,No,Yes,No
south_german_credit,21,1000,No,No,No,No,No,No,No,Yes,No
spartina,15,45,No,No,No,Yes,No,No,Yes,No,No
student_performance,33,395,No,Yes,No,No,No,No,No,Yes,No
superconductivity,82,21263,No,Yes,No,No,No,No,Yes,No,No
uscrime,14,47,No,No,No,No,No,No,No,Yes,No
wine_quality_red,12,1599,No,Yes,No,No,No,No,Yes,No,No
wine_quality_red_white_mixed,13,6497,No,Yes,No,No,No,No,No,Yes,No
wine_quality_white,12,4898,No,Yes,No,No,No,No,Yes,No,No
yacht_hydrodynamics,7,308,No,Yes,No,No,No,No,Yes,No,No
