,season_type,week,homeTeamAbbr,homeFinalScore,visitorTeamAbbr,visitorFinalScore
0,2,1,NYG,0,DAL,40
1,2,1,NYJ,22,BUF,16
2,2,1,NE,20,PHI,25
3,2,1,BAL,25,HOU,9
4,2,1,MIN,17,TB,20
5,2,1,NO,16,TEN,15
6,2,1,IND,21,JAX,31
7,2,1,WSH,20,ARI,16
8,2,1,PIT,7,SF,30
9,2,1,KC,20,DET,21
10,2,1,CLE,24,CIN,3
11,2,1,DEN,16,LV,17
12,2,1,LAC,34,MIA,36
13,2,1,ATL,24,CAR,10
14,2,1,CHI,20,GB,38
15,2,1,SEA,13,LAR,30
16,2,2,PHI,34,MIN,28
17,2,2,CIN,24,BAL,27
18,2,2,JAX,9,KC,17
19,2,2,ATL,25,GB,24
20,2,2,DAL,30,NYJ,10
21,2,2,ARI,28,NYG,31
22,2,2,LAR,23,SF,30
23,2,2,BUF,38,LV,10
24,2,2,TEN,27,LAC,24
25,2,2,DET,31,SEA,37
26,2,2,DEN,33,WSH,35
27,2,2,TB,27,CHI,17
28,2,2,HOU,20,IND,31
29,2,2,NE,17,MIA,24
30,2,2,CAR,17,NO,20
31,2,2,PIT,26,CLE,22
32,2,3,SF,30,NYG,12
33,2,3,JAX,17,HOU,37
34,2,3,BAL,19,IND,22
35,2,3,NYJ,10,NE,15
36,2,3,SEA,37,CAR,27
37,2,3,DET,20,ATL,6
38,2,3,MIN,24,LAC,28
39,2,3,CLE,27,TEN,3
40,2,3,MIA,70,DEN,20
41,2,3,GB,18,NO,17
42,2,3,WSH,3,BUF,37
43,2,3,KC,41,CHI,10
44,2,3,ARI,28,DAL,16
45,2,3,LV,18,PIT,23
46,2,3,TB,11,PHI,25
47,2,3,CIN,19,LAR,16
48,2,4,GB,20,DET,34
49,2,4,JAX,23,ATL,7
50,2,4,BUF,48,MIA,20
51,2,4,CHI,28,DEN,31
52,2,4,CLE,3,BAL,28
53,2,4,PHI,34,WSH,31
54,2,4,TEN,27,CIN,3
55,2,4,NO,9,TB,26
56,2,4,LAC,24,LV,17
57,2,4,CAR,13,MIN,21
58,2,4,IND,23,LAR,29
59,2,4,HOU,30,PIT,6
60,2,4,DAL,38,NE,3
61,2,4,SF,35,ARI,16
62,2,4,NYJ,20,KC,23
63,2,4,NYG,3,SEA,24
64,2,5,SF,42,DAL,10
65,2,5,LAR,14,PHI,23
66,2,5,BUF,20,JAX,25
67,2,5,NE,0,NO,34
68,2,5,DEN,21,NYJ,31
69,2,5,MIN,20,KC,27
70,2,5,MIA,31,NYG,16
71,2,5,ARI,20,CIN,34
72,2,5,WSH,20,CHI,40
73,2,5,IND,23,TEN,16
74,2,5,PIT,17,BAL,10
75,2,5,DET,42,CAR,24
76,2,5,ATL,21,HOU,19
77,2,5,LV,17,GB,13
78,2,6,KC,19,DEN,8
79,2,6,TEN,16,BAL,24
80,2,6,ATL,16,WSH,24
81,2,6,JAX,37,IND,20
82,2,6,CHI,13,MIN,19
83,2,6,LV,21,NE,17
84,2,6,HOU,20,NO,13
85,2,6,CIN,17,SEA,13
86,2,6,MIA,42,CAR,21
87,2,6,CLE,19,SF,17
88,2,6,NYJ,20,PHI,14
89,2,6,TB,6,DET,20
90,2,6,LAR,26,ARI,9
91,2,6,BUF,14,NYG,9
92,2,6,LAC,17,DAL,20
93,2,7,NO,24,JAX,31
94,2,7,NE,29,BUF,25
95,2,7,NYG,14,WSH,7
96,2,7,DEN,19,GB,17
97,2,7,LAR,17,PIT,24
98,2,7,SEA,20,ARI,10
99,2,7,BAL,38,DET,6
100,2,7,IND,38,CLE,39
101,2,7,KC,31,LAC,17
102,2,7,CHI,30,LV,12
103,2,7,TB,13,ATL,16
104,2,7,PHI,31,MIA,17
